(5, 1093)
(6, 1112)
(5, 1114)
(4, 1115)
(6, 1121)
(2, 1122)
(3, 1125)
(6, 1128)
(5, 1141)
(4, 1148)
(4, 1151)
(3, 1152)
(5, 1158)
(2, 1177)
(6, 1182)
(4, 1184)
(5, 1185)
(3, 1188)
(3, 1209)
(6, 1211)
(2, 1212)
(3, 1215)
(6, 1218)
(2, 1221)
(3, 1222)
(4, 1233)
(6, 1247)
(3, 1251)
(4, 1257)
(5, 1258)
(6, 1274)
(4, 1275)
(3, 1277)
(6, 1281)
(5, 1285)
(6, 1288)
(3, 1290)
(4, 1299)
(2, 1300)
(5, 1303)
(5, 1309)
(4, 1323)
(5, 1330)
(4, 1332)
(4, 1333)
(5, 1335)
(3, 1337)
(2, 1339)
(5, 1353)
(4, 1366)
(3, 1373)
(5, 1390)
(2, 1393)
(5, 1411)
(4, 1418)
(6, 1427)
(5, 1444)
(4, 1447)
(4, 1448)
(5, 1457)
(6, 1472)
(4, 1474)
(5, 1475)
(3, 1478)
(4, 1481)
(4, 1484)
(3, 1487)
(4, 1511)
(3, 1512)
(5, 1518)
(3, 1521)
(4, 1527)
(5, 1528)
(5, 1533)
(5, 1547)
(2, 1557)
(4, 1572)
(5, 1574)
(2, 1575)
(6, 1578)
(5, 1581)
(5, 1582)
(6, 1587)
(5, 1599)
(3, 1607)
(4, 1636)
(4, 1663)
(5, 1666)
(3, 1670)
(4, 1679)
(4, 1697)
(3, 1706)
(2, 1717)
(6, 1724)
(4, 1725)
(3, 1727)
(3, 1733)
(6, 1742)
(4, 1744)
(5, 1745)
(3, 1748)
(4, 1752)
(5, 1754)
(2, 1755)
(6, 1758)
(3, 1760)
(4, 1769)
(2, 1771)
(3, 1772)
(3, 1784)
(6, 1785)
(4, 1796)
(4, 1808)
(6, 1812)
(4, 1814)
(5, 1815)
(3, 1818)
(6, 1821)
(5, 1825)
(6, 1828)
(4, 1841)
(4, 1844)
(3, 1847)
(5, 1851)
(5, 1852)
(6, 1857)
(3, 1874)
(6, 1875)
(4, 1880)
(3, 1881)
(6, 1882)
(6, 1888)
(4, 1900)
(3, 1902)
(5, 1903)
(3, 1920)
(4, 1929)
(5, 1930)
(2, 1933)
(5, 1959)
(4, 1967)
(4, 1976)
(4, 1992)
(5, 1995)
(3, 2003)
(3, 2008)
(3, 2019)
(5, 2026)
(3, 2030)
(5, 2036)
(5, 2039)
(5, 2062)
(5, 2063)
(3, 2080)
(3, 2091)
(5, 2093)
(3, 2109)
(6, 2111)
(2, 2112)
(3, 2115)
(6, 2118)
(2, 2121)
(3, 2122)
(4, 2133)
(6, 2147)
(3, 2151)
(4, 2157)
(5, 2158)
(6, 2174)
(4, 2175)
(3, 2177)
(6, 2181)
(5, 2185)
(6, 2188)
(3, 2190)
(4, 2199)
(5, 2206)
(2, 2211)
(3, 2212)
(3, 2221)
(4, 2224)
(4, 2242)
(5, 2245)
(5, 2254)
(4, 2257)
(4, 2258)
(5, 2260)
(4, 2275)
(4, 2285)
(3, 2300)
(5, 2306)
(5, 2309)
(4, 2313)
(4, 2331)
(3, 2333)
(3, 2338)
(3, 2339)
(5, 2360)
(3, 2369)
(3, 2383)
(5, 2390)
(3, 2393)
(3, 2396)
(6, 2417)
(4, 2422)
(5, 2425)
(2, 2448)
(5, 2452)
(6, 2455)
(5, 2457)
(5, 2458)
(6, 2471)
(5, 2475)
(6, 2478)
(2, 2484)
(5, 2485)
(6, 2487)
(3, 2511)
(4, 2517)
(5, 2518)
(5, 2524)
(4, 2527)
(4, 2528)
(5, 2542)
(6, 2545)
(5, 2547)
(5, 2548)
(6, 2554)
(4, 2555)
(3, 2557)
